日期,分类,子分类,商品名称,金额,商家名称
2024-05-17,人情,孝心,礼品卡,311.61,人情转账A
2024-05-02,餐饮,水果,寿司,990.47,常德牛肉粉
2024-05-21,人情,亲密付,人情聚餐,209.29,人情转账A
2024-05-01,学习,书籍,参考书,153.36,微信读书
2024-05-19,人情,请客,鲜花,407.04,人情转账B
2024-05-04,交通,私家车,公交卡充值,329.28,交通公司
2024-05-04,学习,书籍,参考书,829.12,微信读书
2024-05-15,居家,维修,维修费,237.13,便捷收费公司B
2024-05-15,人情,请客,鲜花,590.22,人情转账A
2024-05-14,购物,家装,项链,684.74,淘宝123店
2024-05-18,金融,保险,保险费,622.13,银行B
2024-05-08,购物,电器,手链,643.47,大润发
2024-05-23,居家,网费,电话费,618.85,便捷收费公司B
2024-05-11,餐饮,粮油调料,牛肉面,988.17,丽丽国际大酒店
2024-05-17,学习,网课,杂志,362.61,微信读书
2024-05-17,人情,亲密付,鲜花,409.51,人情转账A
2024-05-17,医疗,美容,维生素,328.15,药店A
2024-05-30,居家,网费,维修费,690.61,便捷收费公司B
2024-05-19,娱乐,聚会,健身卡,665.16,商场B
2024-05-19,餐饮,零食,粥,113.19,常德牛肉粉
2024-05-05,学习,培训,杂志,456.4,书店B
2024-05-24,居家,房租,电费,136.04,便捷收费公司A
2024-05-06,购物,衣帽鞋包,手链,516.05,淘宝123店
2024-05-16,金融,养卡,银行手续费,805.09,银行A
2024-05-21,居家,水电煤,物业费,240.6,便捷收费公司B
2024-05-07,学习,书籍,培训费,459.58,微信读书
2024-05-21,娱乐,休闲,电影票,556.3,商场B
2024-05-06,餐饮,加餐,汉堡,196.22,肯德基
2024-05-13,学习,培训,杂志,18.25,书店B
2024-05-05,居家,网费,电话费,388.57,便捷收费公司B
2024-05-14,购物,护肤美妆,帽子,883.49,淘宝123店
2024-05-24,金融,车贷,房贷,700.34,银行A
2024-05-01,餐饮,零食,牛肉面,966.3,常德牛肉粉
2024-05-11,医疗,治疗,美容费用,710.73,药店A
2024-05-05,餐饮,烟酒饮品,牛肉面,754.81,德仔
2024-05-14,学习,书籍,参考书,951.68,书店B
2024-05-07,交通,飞机火车,停车费,524.88,交通公司
2024-05-02,金融,养卡,房贷,522.41,银行A
2024-05-21,交通,飞机火车,地铁票,479.62,交通公司
2024-05-03,娱乐,游戏,乐器,278.2,天街
2024-05-18,餐饮,粮油调料,粥,594.83,常德牛肉粉
2024-05-26,医疗,保健,美容费用,756.19,药店A
2024-05-07,学习,书籍,杂志,222.91,微信读书
2024-05-20,人情,送礼,红包,15.26,人情转账A
2024-05-21,人情,发红包,红包,458.54,人情转账A
2024-05-09,餐饮,零食,炒饭,74.39,一点点
2024-05-27,金融,保险,银行手续费,989.8,银行B
2024-05-29,医疗,美容,保健品,467.0,药店A
2024-05-13,娱乐,约会,乐器,252.29,天街
2024-05-31,学习,网课,教科书,539.31,书店B
2024-05-22,人情,亲密付,红包,735.42,人情转账A
2024-05-27,医疗,保健,美容费用,140.4,药店B
2024-05-11,医疗,药品,止疼药,36.32,药店B
2024-05-14,交通,私家车,出租车费,430.15,轨交
2024-05-20,购物,饰品,电脑,504.61,大润发
2024-05-05,学习,书籍,网课,171.6,书店B
2024-05-25,娱乐,聚会,电影票,719.64,天街
2024-05-09,人情,孝心,人情聚餐,700.63,人情转账B
2024-05-31,学习,书籍,培训费,787.4,微信读书
2024-05-27,居家,网费,煤气费,66.04,便捷收费公司B
2024-05-31,学习,书籍,参考书,891.86,书店B
2024-05-03,娱乐,休闲,健身卡,761.32,商场B
2024-05-16,学习,培训,参考书,885.74,微信读书
2024-05-13,交通,共享单车,火车票,61.32,轨交
